images,labels
C15sharpCOVID-2905.png,0
C15sharpCOVID-3080.png,0
C15sharpCOVID-1639.png,0
C15sharpCOVID-3264.png,0
C15sharpCOVID-3047.png,0
C15sharpCOVID-2112.png,0
C15sharpCOVID-2537.png,0
C15sharpCOVID-1759.png,0
C15sharpCOVID-3537.png,0
C15sharpCOVID-3221.png,0
C15sharpCOVID-2939.png,0
C15sharpCOVID-3374.png,0
C15sharpCOVID-1369.png,0
C15sharpCOVID-3049.png,0
C15sharpCOVID-2386.png,0
C15sharpCOVID-2250.png,0
C15sharpCOVID-1811.png,0
C15sharpCOVID-3238.png,0
C15sharpCOVID-1390.png,0
C15sharpCOVID-1725.png,0
C15sharpCOVID-1263.png,0
C15sharpCOVID-1689.png,0
C15sharpCOVID-1710.png,0
C15sharpCOVID-2332.png,0
C15sharpCOVID-2664.png,0
C15sharpCOVID-2700.png,0
C15sharpCOVID-1748.png,0
C15sharpCOVID-1854.png,0
C15sharpCOVID-1523.png,0
C15sharpCOVID-1541.png,0
C15sharpCOVID-1981.png,0
C15sharpCOVID-2475.png,0
C15sharpCOVID-3292.png,0
C15sharpCOVID-2401.png,0
C15sharpCOVID-2319.png,0
C15sharpCOVID-2534.png,0
C15sharpCOVID-2931.png,0
C15sharpCOVID-1691.png,0
C15sharpCOVID-2413.png,0
C15sharpCOVID-2087.png,0
C15sharpCOVID-2960.png,0
C15sharpCOVID-3058.png,0
C15sharpCOVID-1161.png,0
C15sharpCOVID-1292.png,0
C15sharpCOVID-2937.png,0
C15sharpCOVID-1636.png,0
C15sharpCOVID-3193.png,0
C15sharpCOVID-2522.png,0
C15sharpCOVID-2987.png,0
C15sharpCOVID-2029.png,0
C15sharpCOVID-3075.png,0
C15sharpCOVID-1375.png,0
C15sharpCOVID-1127.png,0
C15sharpCOVID-2044.png,0
C15sharpCOVID-1311.png,0
C15sharpCOVID-1315.png,0
C15sharpCOVID-2950.png,0
C15sharpCOVID-2638.png,0
C15sharpCOVID-2309.png,0
C15sharpCOVID-3345.png,0
C15sharpCOVID-2088.png,0
C15sharpCOVID-1542.png,0
C15sharpCOVID-1581.png,0
C15sharpCOVID-1396.png,0
C15sharpCOVID-3150.png,0
C15sharpCOVID-1605.png,0
C15sharpCOVID-2995.png,0
C15sharpCOVID-2100.png,0
C15sharpCOVID-2384.png,0
C15sharpCOVID-1986.png,0
C15sharpCOVID-2526.png,0
C15sharpCOVID-3415.png,0
C15sharpCOVID-3400.png,0
C15sharpCOVID-2435.png,0
C15sharpCOVID-3217.png,0
C15sharpCOVID-1486.png,0
C15sharpCOVID-2110.png,0
C15sharpCOVID-2093.png,0
C15sharpCOVID-3376.png,0
C15sharpCOVID-1363.png,0
C15sharpCOVID-2879.png,0
C15sharpCOVID-3524.png,0
C15sharpCOVID-3316.png,0
C15sharpCOVID-2046.png,0
C15sharpCOVID-2529.png,0
C15sharpCOVID-1401.png,0
C15sharpCOVID-1074.png,0
C15sharpCOVID-2205.png,0
C15sharpCOVID-2129.png,0
C15sharpCOVID-1904.png,0
C15sharpCOVID-3009.png,0
C15sharpCOVID-2520.png,0
C15sharpCOVID-2030.png,0
C15sharpCOVID-3455.png,0
C15sharpCOVID-3598.png,0
C15sharpCOVID-2291.png,0
C15sharpCOVID-1551.png,0
C15sharpCOVID-2629.png,0
C15sharpCOVID-3124.png,0
C15sharpCOVID-1575.png,0
C15sharpCOVID-2971.png,0
C15sharpCOVID-2411.png,0
C15sharpCOVID-1325.png,0
C15sharpCOVID-2589.png,0
C15sharpCOVID-2489.png,0
C15sharpCOVID-2806.png,0
C15sharpCOVID-2920.png,0
C15sharpCOVID-2048.png,0
C15sharpCOVID-2394.png,0
C15sharpCOVID-3109.png,0
C15sharpCOVID-3438.png,0
C15sharpCOVID-3246.png,0
C15sharpCOVID-2735.png,0
C15sharpCOVID-3544.png,0
C15sharpCOVID-2531.png,0
C15sharpCOVID-2306.png,0
C15sharpCOVID-1949.png,0
C15sharpCOVID-2158.png,0
C15sharpCOVID-1078.png,0
C15sharpCOVID-3419.png,0
C15sharpCOVID-3557.png,0
C15sharpCOVID-3185.png,0
C15sharpCOVID-2253.png,0
C15sharpCOVID-2147.png,0
C15sharpCOVID-3102.png,0
C15sharpCOVID-2942.png,0
C15sharpCOVID-1831.png,0
C15sharpCOVID-3333.png,0
C15sharpCOVID-2108.png,0
C15sharpCOVID-3158.png,0
C15sharpCOVID-1328.png,0
C15sharpCOVID-1514.png,0
C15sharpCOVID-2771.png,0
C15sharpCOVID-3404.png,0
C15sharpCOVID-2084.png,0
C15sharpCOVID-2072.png,0
C15sharpCOVID-1278.png,0
C15sharpCOVID-2837.png,0
C15sharpCOVID-3299.png,0
C15sharpCOVID-1987.png,0
C15sharpCOVID-1225.png,0
C15sharpCOVID-1834.png,0
C15sharpCOVID-1431.png,0
C15sharpCOVID-2095.png,0
C15sharpCOVID-3471.png,0
C15sharpCOVID-2058.png,0
C15sharpCOVID-2940.png,0
C15sharpCOVID-1337.png,0
C15sharpCOVID-3085.png,0
C15sharpCOVID-3302.png,0
C15sharpCOVID-1871.png,0
C15sharpCOVID-3275.png,0
C15sharpCOVID-3043.png,0
C15sharpCOVID-1456.png,0
C15sharpCOVID-2768.png,0
C15sharpCOVID-2449.png,0
C15sharpCOVID-1727.png,0
C15sharpCOVID-3073.png,0
